feature,importance
odor,20.201253149911956
spore-print-color,9.801653184434889
gill-color,5.263116181790675
cap-color,4.528090049535387
habitat,4.2160179754840055
ring-type,4.213294404966393
stalk-color-below-ring,4.07266753557937
gill-size,4.00434193977702
population,3.7675305976879496
stalk-root,3.6729575327293182
stalk-color-above-ring,3.571748334603495
stalk-surface-above-ring,3.0224946688302494
stalk-surface-below-ring,3.0074948273608975
gill-spacing,2.4012013784820843
cap-shape,1.7505944763416454
cap-surface,1.7389122906548353
stalk-shape,1.3280469814157498
veil-color,1.317796124094202
ring-number,1.0378148395313092
bruises,0.7756760020399447
gill-attachment,0.5866886001535799
veil-type,0.05650869311654215
