feature,importance
odor,23.910484963772713
spore-print-color,15.240031379790409
gill-color,5.9982067793577745
ring-type,4.606402295256381
stalk-color-above-ring,3.6456046495992314
gill-size,3.5245197710134364
stalk-surface-below-ring,3.160971137703619
stalk-surface-above-ring,2.2068356088546466
