feature,importance
odor,0.20446465046877613
gill-size,0.11376109325302526
spore-print-color,0.10310905633648011
stalk-surface-above-ring,0.0870690302205614
ring-type,0.07426238371892113
stalk-surface-below-ring,0.06798542230252166
gill-color,0.05455726869750463
bruises,0.05320822747218385
stalk-root,0.043917369742417674
gill-spacing,0.04117681613789642
population,0.03488495217802446
habitat,0.03295993686586138
stalk-shape,0.015859064371532294
stalk-color-above-ring,0.015747508384291876
cap-color,0.014467116406576195
ring-number,0.014352257283596022
stalk-color-below-ring,0.01082457225245352
cap-surface,0.009383520787716815
cap-shape,0.003913552798238095
veil-color,0.002316943594012194
gill-attachment,0.0017792567274090595
veil-type,0.0
