accuracy,balanced_accuracy,precision,recall,f1,tn_fp_fn_tp,roc_auc,cv_folds,cv_repeats,cv_strategy,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,experiment_name,model_class,n_features_input,selected_features,feature_engineering,top_n_features,test_size,train_size,random_state,stratify_split,notes,top_ranked_features
0.9987692307692307,0.9987228607918264,1.0,0.9974457215836526,0.9987212276214834,"[842, 0, 2, 781]",1.0,5,1,StratifiedKFold,0.9998769230769231,0.0002461538461538293,0.9998722860791827,0.00025542784163477,1.0,0.0,0.9997445721583652,0.0005108556832694954,0.9998722044728435,0.00025559105431312014,logreg_no_engineering_comparison,LogisticRegression,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Feature-engineering comparison for Logistic Regression; engineered features disabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,logreg_engineered_comparison,LogisticRegression,29,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat', 'odor_is_none', 'odor_is_high_risk', 'bruises_yes', 'gill_is_narrow', 'stalk_root_missing', 'odor_x_spore', 'odor_x_bruises']",True,,0.2,0.8,42,True,Feature-engineering comparison for Logistic Regression; engineered features enabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
0.9987692307692307,0.9987228607918264,1.0,0.9974457215836526,0.9987212276214834,"[842, 0, 2, 781]",0.9999453954732846,5,1,StratifiedKFold,0.9996306934444865,0.0004923456073222495,0.9996168582375479,0.0005108556832694622,1.0,0.0,0.9992337164750958,0.001021711366538952,0.9996164499971402,0.0005114681205350912,decision_tree_no_engineering_comparison,DecisionTreeClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Feature-engineering comparison for Decision Tree; engineered features disabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
0.9987692307692307,0.9987228607918264,1.0,0.9974457215836526,0.9987212276214834,"[842, 0, 2, 781]",0.998744095885549,5,1,StratifiedKFold,0.9995076165214096,0.00046053195760595913,0.9994891443167304,0.0004778617352201595,1.0,0.0,0.998978288633461,0.0009557234704403427,0.9994886544699837,0.0004784291752765861,decision_tree_engineered_comparison,DecisionTreeClassifier,29,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat', 'odor_is_none', 'odor_is_high_risk', 'bruises_yes', 'gill_is_narrow', 'stalk_root_missing', 'odor_x_spore', 'odor_x_bruises']",True,,0.2,0.8,42,True,Feature-engineering comparison for Decision Tree; engineered features enabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_no_engineering_comparison,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Feature-engineering comparison for Random Forest; engineered features disabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_engineered_comparison,RandomForestClassifier,29,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat', 'odor_is_none', 'odor_is_high_risk', 'bruises_yes', 'gill_is_narrow', 'stalk_root_missing', 'odor_x_spore', 'odor_x_bruises']",True,,0.2,0.8,42,True,Feature-engineering comparison for Random Forest; engineered features enabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
