accuracy,balanced_accuracy,precision,recall,f1,tn_fp_fn_tp,roc_auc,cv_folds,cv_repeats,cv_strategy,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,experiment_name,model_class,n_features_input,selected_features,feature_engineering,top_n_features,test_size,train_size,random_state,stratify_split,notes,top_ranked_features
1.0,1.0,1.0,1.0,1.0,"[1263, 0, 0, 1175]",1.0,3,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_split_70_30_cv3,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.3,0.7,42,True,Validation sweep: Random Forest with stratified 70/30 holdout split and 3-fold stratified CV.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[1263, 0, 0, 1175]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_split_70_30_cv5,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.3,0.7,42,True,Validation sweep: Random Forest with stratified 70/30 holdout split and 5-fold stratified CV.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,3,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_split_80_20_cv3,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Validation sweep: Random Forest with stratified 80/20 holdout split and 3-fold stratified CV.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_split_80_20_cv5,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Validation sweep: Random Forest with stratified 80/20 holdout split and 5-fold stratified CV.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_top7_features,RandomForestClassifier,7,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size']",False,7.0,0.2,0.8,42,True,Random Forest using only the top 7 original features by Cramér's V. Selected after top-k sweep as the smallest tested feature subset with perfect performance.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_top8,RandomForestClassifier,8,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring']",False,8.0,0.2,0.8,42,True,Uses only the top 8 original features by Cramér's V.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_top8_features,RandomForestClassifier,8,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring']",False,8.0,0.2,0.8,42,True,Top-k feature sweep: Random Forest using the top 8 original features ranked by Cramér's V.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_topall_features,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Top-k feature sweep: Random Forest using all original features ranked by Cramér's V.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,xgboost_baseline,XGBClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Gradient-boosted tree model.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,xgboost_top8,XGBClassifier,8,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring']",False,8.0,0.2,0.8,42,True,XGBoost with the top 8 original features only.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
